Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,27.500000,27.980000,27.350000,27.969999,27.969999,538500
2022-04-26,28.139999,28.240000,27.620001,27.670000,27.670000,628700
2022-04-27,27.990000,28.309999,27.530001,27.750000,27.750000,463800
2022-04-28,28.020000,28.570000,27.590000,28.450001,28.450001,544700
2022-04-29,28.480000,28.830000,28.139999,28.209999,28.209999,489100
2022-05-02,27.950001,28.299999,27.680000,28.290001,28.290001,398300
2022-05-03,28.150000,28.740000,28.150000,28.549999,28.549999,633900
2022-05-04,27.459999,28.120001,27.200001,28.070000,28.070000,705500
2022-05-05,27.540001,27.700001,27.150000,27.299999,27.299999,1343000
2022-05-06,26.469999,26.840000,26.010000,26.530001,26.530001,638900
2022-05-09,25.709999,25.950001,25.379999,25.410000,25.410000,766000
2022-05-10,25.139999,25.580000,24.930000,25.459999,25.459999,927100
2022-05-11,24.930000,25.500000,24.360001,24.459999,24.459999,1015700
2022-05-12,23.850000,24.389999,22.920000,24.120001,24.120001,1212900
2022-05-13,25.820000,26.590000,25.770000,26.389999,26.389999,966000
2022-05-16,26.250000,26.350000,25.980000,26.090000,26.090000,531700
2022-05-17,27.540001,27.680000,27.170000,27.530001,27.530001,616500
2022-05-18,26.809999,27.190001,25.879999,26.110001,26.110001,856800
2022-05-19,25.670000,26.440001,25.639999,26.010000,26.010000,583200
2022-05-20,26.969999,27.190001,26.090000,26.760000,26.760000,824700
2022-05-23,27.030001,27.650000,26.820000,27.379999,27.379999,587400
2022-05-24,27.170000,27.440001,26.860001,27.260000,27.260000,731100
2022-05-25,26.719999,27.459999,26.600000,27.240000,27.240000,792900
2022-05-26,27.290001,28.270000,27.290001,28.010000,28.010000,719200
2022-05-27,28.020000,28.219999,27.900000,28.190001,28.190001,700500
2022-05-31,28.690001,28.780001,27.990000,28.500000,28.500000,734000
2022-06-01,29.000000,29.150000,28.200001,28.629999,28.629999,496100
2022-06-02,28.590000,28.809999,28.190001,28.799999,28.799999,552200
2022-06-03,28.049999,28.049999,27.450001,27.500000,27.500000,514500
2022-06-06,28.320000,28.320000,27.780001,27.799999,27.799999,744100
2022-06-07,27.870001,28.190001,27.680000,28.170000,28.170000,617300
2022-06-08,28.049999,28.260000,27.650000,27.889999,27.889999,415700
2022-06-09,27.530001,27.610001,27.150000,27.150000,27.150000,582000
2022-06-10,27.000000,27.170000,26.580000,26.650000,26.650000,653400
2022-06-13,25.719999,25.930000,25.180000,25.379999,25.379999,1114700
2022-06-14,25.920000,26.270000,25.719999,25.990000,25.990000,1079200
2022-06-15,26.350000,26.920000,26.170000,26.809999,26.809999,902100
2022-06-16,25.250000,25.330000,24.440001,24.780001,24.780001,962900
2022-06-17,24.920000,25.360001,24.610001,25.170000,25.170000,731900
2022-06-21,25.670000,26.250000,25.639999,26.080000,26.080000,669600
2022-06-22,25.340000,25.879999,25.250000,25.360001,25.360001,1276700
2022-06-23,25.950001,26.100000,25.549999,25.879999,25.879999,839000
2022-06-24,26.080000,26.719999,26.080000,26.670000,26.670000,750600
2022-06-27,26.709999,26.709999,26.230000,26.379999,26.379999,664000
2022-06-28,26.540001,26.760000,26.200001,26.240000,26.240000,578800
2022-06-29,26.469999,26.540001,26.120001,26.309999,26.309999,617600
2022-06-30,25.740000,25.980000,25.450001,25.870001,25.870001,952600
2022-07-01,25.850000,26.330000,25.840000,26.320000,26.320000,469600
2022-07-05,25.650000,26.150000,25.320000,26.139999,26.139999,841600
2022-07-06,26.180000,26.570000,26.129999,26.420000,26.420000,623700
2022-07-07,27.200001,27.879999,27.200001,27.700001,27.700001,715700
2022-07-08,27.750000,28.090000,27.690001,27.900000,27.900000,355300
2022-07-11,27.450001,27.540001,27.219999,27.260000,27.260000,341700
2022-07-12,26.940001,27.420000,26.860001,27.129999,27.129999,506800
2022-07-13,26.450001,26.879999,26.450001,26.620001,26.620001,541600
2022-07-14,26.389999,26.959999,26.280001,26.920000,26.920000,586700
2022-07-15,27.700001,27.840000,27.510000,27.820000,27.820000,713000
2022-07-18,28.290001,28.400000,27.940001,27.990000,27.990000,485100
2022-07-19,28.219999,28.670000,28.219999,28.629999,28.629999,666500
2022-07-20,28.430000,28.510000,28.020000,28.190001,28.190001,543700
2022-07-21,28.309999,28.730000,28.309999,28.719999,28.719999,531400
2022-07-22,28.559999,28.590000,28.100000,28.190001,28.190001,364100
2022-07-25,28.000000,28.139999,27.900000,28.010000,28.010000,365300
2022-07-26,27.410000,27.680000,27.410000,27.549999,27.549999,569500
2022-07-27,27.570000,27.600000,26.709999,27.510000,27.510000,680800
2022-07-28,27.870001,28.219999,27.820000,28.190001,28.190001,406800
2022-07-29,28.490000,28.660000,28.260000,28.520000,28.520000,762600
2022-08-01,30.129999,30.700001,29.850000,30.580000,30.580000,981600
2022-08-02,30.070000,30.530001,30.070000,30.360001,30.360001,464400
2022-08-03,29.790001,30.100000,29.580000,29.940001,29.940001,645700
2022-08-04,29.600000,29.740000,29.450001,29.570000,29.570000,391100
2022-08-05,28.930000,29.270000,28.920000,29.219999,29.219999,262700
2022-08-08,29.719999,29.730000,29.459999,29.590000,29.590000,235200
2022-08-09,29.590000,29.590000,29.340000,29.540001,29.540001,622800
2022-08-10,30.559999,30.990000,30.469999,30.840000,30.840000,1017600
2022-08-11,30.430000,30.440001,29.620001,29.760000,29.760000,1141100
2022-08-12,29.950001,30.459999,29.860001,30.410000,30.410000,384800
2022-08-15,30.219999,30.510000,30.219999,30.360001,30.360001,412300
2022-08-16,31.000000,31.250000,30.910000,31.020000,31.020000,545900
2022-08-17,30.540001,30.620001,30.360001,30.410000,30.410000,567900
2022-08-18,30.459999,30.740000,30.309999,30.629999,30.629999,344100
2022-08-19,29.639999,29.730000,29.100000,29.280001,29.280001,496700
2022-08-22,28.370001,28.389999,28.110001,28.250000,28.250000,526800
2022-08-23,28.830000,29.110001,28.780001,28.889999,28.889999,378100
2022-08-24,29.219999,29.290001,29.080000,29.240000,29.240000,219100
2022-08-25,28.840000,29.250000,28.820000,29.200001,29.200001,534800
2022-08-26,29.370001,29.570000,28.490000,28.580000,28.580000,636700
